,Ceylon Blue Sapphire
208,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp87072
209,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-bracelet-b4
210,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/halo-blue-sapphire-double-pave-set-rose-gold-engagement-ring-er-4
211,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp87334
212,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109055
213,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp108821
214,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/halo-blue-sapphire-double-pave-set-gold-engagement-ring-er-4
215,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109870
216,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp108823
217,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-ring-design-a26
218,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp108793
219,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-ring-design-a26
220,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gold-ring-design-a26
221,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp68604
222,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp109468
223,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-sterling-silver-bracelet-b5
224,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp130902
225,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp68605
226,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109145
227,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp98385
228,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp134434
229,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-panchdhatu-bracelet-b5
230,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp108342
231,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/prong-set-blue-sapphire-round-diamond-white-gold-engagement-ring-er-6
232,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp67113
233,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/prong-set-blue-sapphire-round-diamond-rose-gold-engagement-ring-er-6
234,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp77935
235,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp66078
236,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/prong-set-blue-sapphire-round-diamond-gold-engagement-ring-er-6
237,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/pitambari-neelam-gp67257
238,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp67084
239,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/teal-sapphire-gp109429
240,https://www.gempundit.com/gemstones/ceylon-blue-sapphire/blue-sapphire-gp108344
